2025-06-12T01:03:35: 2025-06-12 01:03:35,679 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:13:27 CEST)" executed successfully
2025-06-12T01:03:35: 2025-06-12 01:03:35,956 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T01:03:36: 2025-06-12 01:03:36,348 | plugins.fi_shortinterest.parser | INFO | Parsed 311 aggregate records
2025-06-12T01:03:37: 2025-06-12 01:03:37,587 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_agg
2025-06-12T01:03:37: 2025-06-12 01:03:37,588 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:13:27 CEST)" executed successfully
2025-06-12T01:13:27: 2025-06-12 01:13:27,699 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:23:27 CEST)" (scheduled at 2025-06-12 01:13:27.640976+02:00)
2025-06-12T01:13:27: 2025-06-12 01:13:27,699 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_agg
2025-06-12T01:13:27: 2025-06-12 01:13:27,716 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:23:27 CEST)" (scheduled at 2025-06-12 01:13:27.679061+02:00)
2025-06-12T01:13:27: 2025-06-12 01:13:27,716 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_pos
2025-06-12T01:13:29: 2025-06-12 01:13:29,044 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T01:13:29: 2025-06-12 01:13:29,109 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T01:13:30: 2025-06-12 01:13:30,080 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T01:13:30: 2025-06-12 01:13:30,223 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T01:13:30: 2025-06-12 01:13:30,879 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T01:13:31: 2025-06-12 01:13:31,001 | plugins.fi_shortinterest.parser | INFO | Parsed 154 position records
2025-06-12T01:13:31: 2025-06-12 01:13:31,009 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T01:13:31: 2025-06-12 01:13:31,386 | plugins.fi_shortinterest.parser | INFO | Parsed 311 aggregate records
2025-06-12T01:13:32: 2025-06-12 01:13:32,273 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_pos
2025-06-12T01:13:32: 2025-06-12 01:13:32,273 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:23:27 CEST)" executed successfully
2025-06-12T01:13:33: 2025-06-12 01:13:33,634 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_agg
2025-06-12T01:13:33: 2025-06-12 01:13:33,634 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:23:27 CEST)" executed successfully
2025-06-12T01:14:14: 2025-06-12 01:14:14,735 | discord.gateway | INFO | Shard ID None has successfully RESUMED session b0b86985bc243826a9b033a004bbe426.
2025-06-12T01:23:27: 2025-06-12 01:23:27,689 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:33:27 CEST)" (scheduled at 2025-06-12 01:23:27.640976+02:00)
2025-06-12T01:23:27: 2025-06-12 01:23:27,689 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_agg
2025-06-12T01:23:27: 2025-06-12 01:23:27,705 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:33:27 CEST)" (scheduled at 2025-06-12 01:23:27.679061+02:00)
2025-06-12T01:23:27: 2025-06-12 01:23:27,705 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_pos
2025-06-12T01:23:28: 2025-06-12 01:23:28,883 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-12 01:20 (previous: None)
2025-06-12T01:23:28: 2025-06-12 01:23:28,939 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-12 01:20 (previous: None)
2025-06-12T01:23:30: 2025-06-12 01:23:30,064 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607962 bytes
2025-06-12T01:23:30: 2025-06-12 01:23:30,154 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607962 bytes
2025-06-12T01:23:31: 2025-06-12 01:23:31,002 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T01:23:31: 2025-06-12 01:23:31,125 | plugins.fi_shortinterest.parser | INFO | Parsed 154 position records
2025-06-12T01:23:31: 2025-06-12 01:23:31,125 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T01:23:31: 2025-06-12 01:23:31,497 | plugins.fi_shortinterest.parser | INFO | Parsed 311 aggregate records
2025-06-12T01:23:31: 2025-06-12 01:23:31,562 | plugins.fi_shortinterest.diff_parser | INFO | Aggregate position changed for 549300SUH6ZR1RF6TA88: 3.320% -> 3.450%
2025-06-12T01:23:33: 2025-06-12 01:23:33,231 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_agg
2025-06-12T01:23:33: 2025-06-12 01:23:33,231 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:33:27 CEST)" executed successfully
2025-06-12T01:23:33: 2025-06-12 01:23:33,766 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_pos
2025-06-12T01:23:33: 2025-06-12 01:23:33,767 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:33:27 CEST)" executed successfully
2025-06-12T01:33:27: 2025-06-12 01:33:27,686 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:43:27 CEST)" (scheduled at 2025-06-12 01:33:27.640976+02:00)
2025-06-12T01:33:27: 2025-06-12 01:33:27,686 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_agg
2025-06-12T01:33:27: 2025-06-12 01:33:27,724 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:43:27 CEST)" (scheduled at 2025-06-12 01:33:27.679061+02:00)
2025-06-12T01:33:27: 2025-06-12 01:33:27,725 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_pos
2025-06-12T01:33:28: 2025-06-12 01:33:28,956 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-12 01:20 (previous: None)
2025-06-12T01:33:29: 2025-06-12 01:33:29,073 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-12 01:20 (previous: None)
2025-06-12T01:33:30: 2025-06-12 01:33:30,027 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607962 bytes
2025-06-12T01:33:30: 2025-06-12 01:33:30,132 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607962 bytes
2025-06-12T01:33:30: 2025-06-12 01:33:30,807 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
