set_name,date,volume_sold
SV: Paldea Evolved,2025-01-20,1908.95
SV: Paldea Evolved,2025-01-27,20518.32
SV: Paldea Evolved,2025-01-27,3159.80
SV: Paldea Evolved,2025-02-03,16751.68
SV: Paldea Evolved,2025-02-03,1254.90
SV: Paldea Evolved,2025-02-10,34954.11
SV: Paldea Evolved,2025-02-10,2035.74
SV: Paldea Evolved,2025-02-17,41164.48
SV: Paldea Evolved,2025-02-17,4705.04
SV: Paldea Evolved,2025-02-24,44045.64
SV: Paldea Evolved,2025-02-24,1612.93
SV: Paldea Evolved,2025-03-03,35846.96
SV: Paldea Evolved,2025-03-03,1699.40
SV: Paldea Evolved,2025-03-10,17529.72
SV: Paldea Evolved,2025-03-10,822.12
SV: Paldea Evolved,2025-03-17,20428.80
SV: Paldea Evolved,2025-03-17,809.60
SV: Paldea Evolved,2025-03-24,11750.96
SV: Paldea Evolved,2025-03-24,779.45
SV: Paldea Evolved,2025-03-31,11527.00
SV: Paldea Evolved,2025-03-31,624.16
SV: Paldea Evolved,2025-04-07,10463.16
SV: Paldea Evolved,2025-04-07,617.50
SV: Paldea Evolved,2025-04-14,15817.36
SV: Paldea Evolved,2025-04-14,681.86
SV: Paldea Evolved,2025-04-21,9485.97
SV: Paldea Evolved,2025-04-21,625.50
SV: Paldea Evolved,2025-04-28,8572.68
SV: Paldea Evolved,2025-04-28,177.50
SV: Paldea Evolved,2025-05-05,15963.57
SV: Paldea Evolved,2025-05-05,329.47
SV: Paldea Evolved,2025-05-12,50145.68
SV: Paldea Evolved,2025-05-12,755.70
SV: Paldea Evolved,2025-05-19,13730.11
SV: Paldea Evolved,2025-05-19,1181.64
SV: Paldea Evolved,2025-05-26,11858.43
SV: Paldea Evolved,2025-05-26,557.60
SV: Paldea Evolved,2025-06-02,19.77
SV: Paldean Fates,2024-06-10,146.10
SV: Paldean Fates,2024-06-10,708.75
SV: Paldean Fates,2024-06-17,589.05
SV: Paldean Fates,2024-06-17,148.40
SV: Paldean Fates,2024-06-24,226.16
SV: Paldean Fates,2024-06-24,281.07
SV: Paldean Fates,2024-07-01,552.12
SV: Paldean Fates,2024-07-01,363.00
SV: Paldean Fates,2024-07-08,152.70
SV: Paldean Fates,2024-07-08,478.65
SV: Paldean Fates,2024-07-15,381.15
SV: Paldean Fates,2024-07-15,1132.42
